,成交股數,收盤價
0,,
1,,
2,,
3,,
4,33441144.6,235.6
5,33042060.2,236.9
6,34235285.8,239.5
7,33801313.8,240.5
8,33951678.8,241.3
9,37185703.6,239.9
10,36006987.0,238.1
11,39971950.2,237.7
12,41169063.6,238.7
13,46515613.2,241.2
14,44869312.2,242.8
15,45056751.4,243.4
16,40763885.2,241.5
17,41221993.8,240.6
18,34411775.4,238.7
19,38993849.0,240.2
20,38413232.8,242.3
21,38569179.4,243.9
22,33905860.6,244.6
23,33752233.0,245.4
24,26316239.8,244.2
25,24257596.8,242.8
26,23110068.2,243.7
27,25631078.0,244.9
28,24941349.6,246.4
29,25956027.8,248.8
30,27876480.2,251.6
31,29983383.6,252.6
32,27905840.8,253.4
33,35108114.0,255.1
34,34627981.8,257.0
35,35254376.6,258.6
36,33287254.8,261.2
37,35245248.8,263.4
38,27422903.4,263.8
39,24744839.6,263.2
40,23469317.4,262.4
41,25840229.8,261.3
42,25722026.0,259.6
43,32401540.6,257.7
44,39274020.8,254.8
45,46478274.2,252.5
46,45092246.0,250.2
47,45098794.0,249.6
48,39212185.8,249.5
49,33654063.0,249.5
50,29138027.8,249.7
51,28906418.2,249.7
52,28017708.0,249.0
53,28090890.2,249.2
54,27205967.6,250.8
55,23992486.2,251.8
56,22764371.8,253.0
57,20579604.2,253.8
58,21908025.4,253.1
59,28516916.8,252.2
60,27519234.0,251.7
61,27109019.4,251.7
62,31214284.2,252.7
63,27821531.0,254.5
64,22305839.8,255.3
65,23989210.0,256.4
66,29780402.2,258.2
67,28042465.0,259.1
68,28550660.8,260.6
69,29337335.0,262.1
70,31850991.4,263.2
71,29801104.4,263.1
72,32261994.6,263.5
73,34812396.8,263.5
74,39080575.4,264.6
75,37260485.8,265.0
76,38413200.2,265.3
77,33474448.6,265.0
78,32321468.4,265.0
79,26698149.2,264.8
80,28090656.4,265.4
81,28028046.8,267.0
82,40233783.2,270.2
83,41487385.2,273.1
84,44013525.4,275.2
85,44350827.4,276.9
86,39052310.0,278.1
87,31976242.2,279.4
88,32840742.8,279.9
